wynagrodzenie; staż_pracy; premia_w_%; Etat;oddział
6290;4;30;1;OIV
3900;5;10;1;OV
4650;8;10;1;OVII
974;15;15;5;OIII
1300,75;5;5;3;OI
4560;3;50;1;OVII
4690;1;45;1;OVI
3420;9;15;1;OII
690;7;35;8;OIII
1070;11;35;5;OV
1337;0;25;3;OI
6330;20;10;1;OII
5020;9;30;1;OV
4980;13;0;1;OIII
615;13;40;8;OV
730;18;5;6;OV
349;8;10;10;OII
2023;5;10;3;OIV
6520;8;25;1;OIII
3960;8;15;1;OIII
5220;15;15;1;OVI
6500;2;15;1;OIII
4530;13;50;1;OII
5210;14;25;1;OV
746;13;25;8;OII
658;1;45;10;OVII
905;5;15;4;OI
563;3;10;9;OI
3620;16;40;1;OV
2350;12;35;2;OII
764;4;30;8;OII
406;10;10;10;OV
1123;0;25;3;OI
1463;9;15;4;OIII
724;20;30;7;OVI
550;17;30;10;OIII
1807;19;50;3;OVI
1160;5;10;3;OIV
597;2;20;7;OIII
1270;12;35;5;OIV
6590;20;45;1;OVI
1056;17;50;5;OII
6560;7;50;1;OVII
492;16;0;10;OV
3075;16;15;2;OIV
920;7;0;4;OIV
637;17;35;10;OI
5260;16;5;1;OVII
6400;6;10;1;OVII
1274;4;5;5;OVI
358;7;20;10;OIV
6790;13;45;1;OVI
1010;6;25;3;OII
5100;13;45;1;OVII
447;12;25;9;OVI
3790;2;40;1;OV
1320;18;25;5;OVII
808;7;45;6;OVII
1318;16;30;5;OVI
4690;7;0;1;OIV
401;4;50;7;OIV
420;15;10;8;OVI
5490;10;45;1;OV
647;17;10;9;OI
6240;5;50;1;OV
677,1;6;45;6;OV
1324;1;10;5;OVII
1525;17;20;2;OIV
4090;9;5;1;OI
4050;14;50;1;OV
371;12;50;10;OII
1014;3;0;5;OI
517;12;15;10;OI
5340;4;30;1;OI
589;3;15;7;OI
6900;2;10;1;OVI
1963;20;45;3;OII
3490;16;35;1;OV
6690;7;50;1;OVI
3830;4;5;1;OI
2095;4;15;2;OIII
410;12;10;8;OVII
3160;8;50;1;OVII
1174;9;35;5;OIV
5570;10;40;1;OVI
794;16;50;7;OI
339;19;45;9;OVII
500;11;20;6;OVII
1186;11;10;5;OV
1815;5;35;2;OV
1236;8;15;5;OI
324;18;30;9;OI
504;9;20;9;OVII
475;11;40;10;OVII
360;4;35;8;OV
1340;0;5;5;OVI
1067;2;30;3;OIV
4330;7;50;1;OII
4170;12;35;1;OIII
1860;8;30;3;OV
6550;8;30;1;OVI
6790;13;40;1;OVI
4600;11;30;1;OI
5720;15;0;1;OVI
1102;12;10;5;OII
999;20;50;7;OV
5130;17;45;1;OIV
2115;10;50;2;OV
1455;13;40;4;OII
1138;13;10;5;OVII
490;10;30;7;OVI
2800;7;30;2;OIV
3770;13;5;1;OVII
917;8;5;7;OVII
776;12;20;7;OI
5030;9;0;1;OIII
773;9;5;8;OVI
1727;19;25;3;OIII
1588;6;15;4;OIV
5340;16;30;1;OVII
424;2;15;8;OIII
2255;9;30;2;OVI
3280;10;20;1;OVII
1197;14;5;3;OIV
710,1;2;10;5;OIV
6320;2;50;1;OIV
5250;2;50;1;OI
2005;18;45;2;OVII
973,3;16;35;7;OVII
1890;0;45;3;OV
815;8;20;8;OI
2960;15;20;1;OVII
5430;19;15;1;OIII
2115;6;45;2;OV
1643;1;35;3;OV
2320;10;25;3;OI
1183;19;20;4;OIII
676;11;50;7;OVII
375;0;10;10;OVII
666;18;35;9;OV
1020;4;50;6;OII
705;16;30;8;OI
676;9;0;7;OVI
560;8;30;8;OII
1455;17;0;4;OIII
727;14;50;6;OIII
497;13;40;9;OVI
1113;18;20;4;OIV
6370;0;15;1;OV
1268;5;0;5;OII
5390;9;35;1;OI
306;13;45;9;OIII
3530;14;25;1;OI
5130;19;20;1;OV
521;7;50;7;OI
845;13;50;8;OIII
713;16;5;9;OVII
560;16;25;9;OVI
3000;10;30;1;OVII
651;10;25;10;OVI
5970;7;25;1;OII
1423;0;15;3;OIII
5330;10;5;1;OI
4730;13;15;1;OVII
789;10;40;8;OII
773;6;45;8;OIII
6380;14;5;1;OII
459;13;30;10;OV
6360;1;20;1;OI
3355;14;25;2;OIV
1200;9;10;3;OIV
763;10;25;4;OVI
3180;8;35;1;OV
1013,3;0;35;3;OIV
5100;9;45;1;OV
1657;3;20;3;OIII
5470;15;5;1;OI
296;20;15;10;OV
2313;5;25;3;OIII
4100;14;30;1;OIV
914;8;30;7;OII
4920;6;25;1;OVI
574;5;40;7;OII
1880;8;50;3;OII
5090;11;0;1;OVII
2950;10;25;1;OIV
409;12;40;10;OIV
997;2;35;3;OVI
993;19;10;6;OVI
1017;4;5;6;OVII
683;8;5;10;OVII
880;17;10;7;OVII
576;3;20;8;OVI
281;0;50;10;OVI
434;19;15;9;OII
1473;1;5;4;OIV
618;4;15;9;OIII
401,9;13;5;10;OVII
905;2;15;4;OIV
1900;15;0;2;OII
2100;17;5;2;OII
1847;16;15;3;OV
3600;12;5;1;OV
5880;13;25;1;OIII
5140;13;45;1;OI
320;19;25;9;OIV
819;12;20;7;OI
6370;13;45;1;OVII
4770;3;35;1;OV
377;20;25;9;OIII
6690;2;20;1;OI
2790;16;40;1;OVII
6090;17;50;1;OVI
1158;14;40;4;OIII
5440;6;30;1;OV
471;5;35;10;OVII
340;5;10;10;OII
1825;19;15;2;OI
1510;10;20;2;OII
1175;14;30;4;OV
3780;19;15;1;OIII
2915;15;45;2;OVII
4220;6;50;1;OV
552;18;25;5;OVI
6160;5;20;1;OVII
1437;9;40;3;OVII
952;5;45;6;OVI
404;14;20;8;OIII
828;11;40;5;OII
906;17;35;7;OVII
981;11;0;7;OIII
1510;20;10;3;OVII
1563;13;35;4;OVI
531;19;10;7;OV
839;11;20;8;OI
3650;6;5;1;OV
1100;4;5;4;OII
584;6;10;8;OI
5250;16;20;1;OIV
905;11;15;4;OIV
3800;9;35;1;OVI
2095;9;35;2;OIV
6890;19;0;1;OII
1117;10;45;3;OVI
5900;11;15;1;OV
3240;18;15;2;OVI
1530;6;0;3;OII
388;18;30;8;OI
3360;3;30;1;OVI
608;19;10;9;OVII
904;9;25;7;OI
1028;11;5;6;OV
6790;5;10;1;OII
852;18;45;5;OVI
918;5;10;6;OIV
1527;10;45;3;OI
6640;18;35;1;OVII
3200;1;25;1;OIV
6310;6;30;1;OVII
403;20;20;8;OIV
648;18;30;9;OV
4930;10;10;1;OIII
496;17;35;10;OII
1338;20;30;4;OIII
4190;13;0;1;OVI
610;17;0;10;OII
5220;0;15;1;OIV
457;7;20;9;OV
991;18;5;7;OIV
1083;2;35;3;OIV
380;20;10;8;OI
849;13;50;8;OII
1453;5;50;3;OII
4060;5;30;1;OIII
997;11;10;6;OI
3445;10;50;2;OIV
1158;12;25;5;OVII
3250;10;15;1;OIII
6940;18;35;1;OIV
2725;11;45;2;OIII
6000;19;15;1;OVII
628;12;15;8;OIV
3250;17;10;2;OI
469;15;15;7;OII
5590;13;0;1;OI
1680;10;35;4;OVII
526;16;45;7;OII
4240;1;40;1;OIV
622;10;10;10;OI
372;15;40;9;OI
509;4;10;10;OVII
1228;0;5;4;OI
1360;12;25;3;OV
4650;2;50;1;OV
2860;14;35;1;OII
1615;2;5;4;OVI
1650;10;15;2;OII
5870;19;45;1;OVII
4450;10;25;1;OV
6830;3;25;1;OIII
3940;9;30;1;OVI
2480;15;35;2;OV
1285;8;40;4;OI
2870;17;50;1;OII
1483,5;1;45;3;OVI
4590;1;40;1;OI
3350;9;45;1;OII
5940;8;35;1;OVI
1137;20;30;6;OIII
1396;2;45;5;OV
6490;1;50;1;OVI
326;17;40;9;OII
5900;6;5;1;OV
1897;16;5;3;OII
835;15;5;4;OVI
1022;4;5;6;OIII
1680;6;15;3;OII
510;5;0;8;OV
1893;5;40;3;OVII
4620;20;20;1;OIII
3500;7;20;1;OII
5890;6;45;1;OIV
636;20;40;8;OVII
1543;9;45;4;OVI
306;3;45;9;OII
1690;11;40;3;OI
606;16;30;7;OIV
5910;17;5;1;OVI
339;18;25;10;OIV
4060;4;25;1;OVI
1160;0;25;6;OII
394;12;30;9;OV
930;7;35;7;OVI
366;7;35;10;OV
413;11;10;9;OIII
357,5;10;25;9;OII
2825;2;10;2;OIV
608;1;15;6;OI
4130;18;0;1;OVI
851;15;30;8;OV
422;20;10;9;OV
698;15;0;9;OVII
657;2;45;7;OIII
957;5;35;3;OIII
2790;18;30;1;OIII
585;6;5;10;OV
1323;2;50;4;OVI
5490;17;0;1;OIII
484;8;0;9;OIV
950;8;30;3;OIII
672;14;20;5;OIII
315;13;15;10;OI
513;2;50;10;OI
417;12;0;9;OI
3485;20;25;2;OI
2165;16;0;2;OVII
4870;11;0;1;OV
3820;14;25;1;OII
822;7;35;6;OII
714;2;30;7;OV
3710;2;40;1;OII
474;13;40;7;OVII
3220;12;40;1;OII
6270;14;5;1;OIV
773;12;30;8;OII
590;0;45;10;OIV
569;2;20;10;OV
3730;17;40;1;OV
3160;11;20;1;OI
596;6;25;7;OVI
6170;14;20;1;OIII
1300;14;40;4;OVII
345;7;10;10;OVII
1623;6;35;4;OV
6450;3;25;1;OIV
6140;19;45;1;OVII
1640;5;15;4;OIV
610;11;35;10;OVI
531;18;30;10;OV
588;14;20;5;OI
4630;18;25;1;OI
669,9;6;0;9;OI
4250;19;35;1;OIV
5970;5;20;1;OVII
386;14;15;10;OI
510;8;20;10;OV
4490;1;5;1;OIII
6880;0;40;1;OVI
1208;15;0;4;OVII
5100;13;45;1;OV
900;0;40;7;OIII
911;5;10;7;OVII
463;8;20;7;OI
641,2;12;14;6;OVI
550;14;45;7;OIV
